stop_id,stop_name
190,වාද්දුව/මොරොන්තුඩුව පාර
191,මොල්ලිගොඩ/කොරොස්දූව පාර
192,පොතුපිටිය/වාලුකාරාමය
193,වාඩියමංකඩ/බණ්ඩාරගම පාර
194,නාගස් හන්දිය
195,කළුතර
196,කටුකුරුන්ද හංදිය
197,මලේගොඩ/දොඩම්ගොඩ පාර
198,පයාගල/නාගහතුඩුව
199,මග්ගොන/මුංහේන පාර
200,පොල්කොටුව/මාගල්කන්ද පාර
201,බේරුවල
202,මොරගල්ල තැ.කා
203,බෙන්තොට (කහඹිලියාකන්ද)
204,වරාහේන/දුම්රිය හරස්පාර
205,ඉඳුරුව දුම්රිය පොල
206,මහ ඉඳුරුව දුම්රියපොළ
207,දූව මෝදර/පොල්වත්ත පාර
208,කොස්ගොඩ
209,අහුංගල්ල/ඌරගහ පාර
210,පාතෙගම/ගොඩගෙදර හංදිය
211,බලපිටිය බස් නැවතුම්පළ
212,බලපිටිය රෝහල
213,රන්දොඹ සංඝරාජ විහාරය
214,අම්බලන්ගොඩ
215,මාදම්පෙ (උස්මුදුලාව)
216,අකුරල
217,කහව
218,සීනිගම
219,හික්කඩුව
220,නාරිගම
221,කුමාරකන්ද හන්දිය
222,දොඩන්දූව
223,රත්ගම
224,බූස්ස හමුදා කඳවුර
225,ගිංතොට
226,ගිංතොට ඩිපෝව
227,මහ මෝදර රෝහල
228,ගාල්ල බස් නැවතුම්පොල
229,මෝඩ ඇල
230,දෙවට හන්දිය
231,උණවටුන ගුරු විදුහල
232,දලවැල්ල
233,තල්පේ
234,හබරාදූව
235,කොග්ගල
236,කතළුව
237,වැල්හේන්ගොඩ
238,අහංගම
239,ගොවියාපාන
240,මිදිගම
241,කුඹල්ගම
242,වැලිගම බස් නැවතුම්පොල
243,පැලෑන ප‍්‍රාදේශ්‍රීය සභාව
244,පොල්අතුමෝදර
245,මිරිස්ස
246,තල්අරඹ පාසල
247,කඹුරුගමුව හන්දිය
248,වල්ගම
249,නූපේ
250,මාතර
251,ගාල්ල
252,කිරුළපන
253,දෙල්දූව(පුරාණ රජමහා විහාරය)
254,මාවල හන්දිය
255,මොරොන්තුඩුව හන්දිය
256,දැල්කඩ/අඹගස්ඕවිට
257,වෑවිට/මස්විල පාර
258,බණ්ඩාරගම
259,ගම්මන්පිල වැව
260,මැදගම
261,වැල්මිල්ල හංදිය
262,කිඳෙල්පිටිය හංදිය
263,බටුවන්දර හන්දිය
264,මාකන්දන හන්දිය
265,කැස්බෑව
266,පිලියන්දල
267,බෝකුන්දර
268,බොරලැස්ගමුව
269,පැපිලියාන
270,කොහුවල
271,පාමංකඩ
272,තිඹිරිගස්යාය
273,වෙලේවත්ත
274,තල්පාවිල
275,කැකුණදුර
276,බණ්ඩාරවත්ත
277,පරගහලඟ
278,අපරැක්ක
279,කඩවැද්දුම
280,යටියන
281,හිත්තැටිය (බණ්ඩාරණායක පිළිමය)
282,ගොඩගම හංදිය (සුල්තානාගොඩ පාර)
283,පාලටුව ජයන්ති පාලම
284,මාලිම්බඩ
285,වෙනියකුල
286,කද්දුව
287,ගණේගොඩ හංදිය
288,පරගොඩ උයන්ගොඩ මහා විද්‍යාලය
289,පරගහලඟ/ඉහල විටියල
290,කඹුරුපිටිය බස්නැවතුම්පල
291,ආඳපාන රෝහල
292,රන්සෑගොඩ හංදිය
293,රන්සෑගොඩ උතුර
294,මාකඳුර
295,බැරගම හංදිය
296,19 කණුව නිග්‍රෝධාරාමය පාර
297,මුලටියන හංදිය
298,නෙරලම්පිටිය හංදිය
299,දෙයියන්දර
300,කුලිගොඩ සුමන විදුහල
301,ගලගොඩ හංදිය
302,මීටියාගොඩ
303,තුඩාව
304,නාදුගල (ජල සම්පාදන මූලස්ථානය)
305,බන්ඩත්තර (නායිම්බල මහාවිද්‍යාලය)
306,තිහගොඩ
307,පලොල්පිටිය
308,අකුරුගොඩ
309,මාපලාන
310,කඹුරුපිටිය පොලිසිය
311,උපරතන විද්‍යාලය
312,ඊරියතොට මහා විද්‍යාලය
313,හොරපාවිට පන්සල
314,හොරපාවිට උප තැපැල් කාර්යාලය
315,බමුණුගම පන්සල
316,රදාවෙල
317,කඩේවත්ත හංදිය
318,දෙනිපිටිය හංදිය
319,වැලිහිඳ හන්දිය
320,උඩුකාව හංදිය
321,නාපෙ හංදිය/9 කිමි කණුව
322,තෙලිජ්ජවිල/මාතර පාර
323,කිරිමැටිමුල්ල
324,බොරළුකැටිය හංදිය
325,තුඹේ කෝංගල හංදිය
326,ට‍්‍රාන්ස්පෝමර හංදිය-ඕවිටිගමුව
327,7 කි.මි කණුව-ආයුර්වේද රෝහල
328,කිරින්ද
329,ආදාපාන රෝහල
330,රන්සෑගොඩ උතුර(ම.වි පාර)
331,මුලටියන කන්ද ආරණ්‍යය පාර
332,කුඩාපාන හංදිය(පිටබැද්දර පාර)
333,28 කිමි කණුව
334,මාවරල කඩපල
335,පිටකොටුව
336,ජේතවනාරාමය
337,තොටලඟ
338,පෑලියගොඩ (ඔලියමුල්ල බෝක්කුව)
339,වත්තල තැපැල් කාර්යාලය
340,මාබෝල
341,මහබාගෙ
342,කඳාන පොලීසිය
343,කපුවත්ත
344,ජාඇල බස් නැවතුම්පොල
345,තුඩැල්ල
346,දඩුගම
347,සීදූව
348,ලියනගේමුල්ල
349,පෙරියමුල්ල
350,දළුපත
351,දළුවකොටුව
352,කොච්චිකඩේ
353,තෝප්පුව හන්දිය
354,වයික්කාල
355,නයිනමඩම
356,දුම්මලදෙණිය (වෙන්නප්පුව ඩිපෝව)
357,වෙන්නප්පුව
358,කොලින්ජාඩිය
359,කටුනේරිය
